,day,time,sex,size,smoker,total_bill,tip,tip(%)
0,Sun,Dinner,Female,2,No,16.99,1.01,5.94
1,Sun,Dinner,Male,3,No,10.34,1.66,16.05
2,Sun,Dinner,Male,3,No,21.01,3.5,16.66
3,Sun,Dinner,Male,2,No,23.68,3.31,13.98
4,Sun,Dinner,Female,4,No,24.59,3.61,14.68
5,Sun,Dinner,Male,4,No,25.29,4.71,18.62
6,Sun,Dinner,Male,2,No,8.77,2.0,22.81
7,Sun,Dinner,Male,4,No,26.88,3.12,11.61
8,Sun,Dinner,Male,2,No,15.04,1.96,13.03
9,Sun,Dinner,Male,2,No,14.78,3.23,21.85
10,Sun,Dinner,Male,2,No,10.27,1.71,16.65
11,Sun,Dinner,Female,4,No,35.26,5.0,14.18
12,Sun,Dinner,Male,2,No,15.42,1.57,10.18
13,Sun,Dinner,Male,4,No,18.43,3.0,16.28
14,Sun,Dinner,Female,2,No,14.83,3.02,20.36
15,Sun,Dinner,Male,2,No,21.58,3.92,18.16
16,Sun,Dinner,Female,3,No,10.33,1.67,16.17
17,Sun,Dinner,Male,3,No,16.29,3.71,22.77
18,Sun,Dinner,Female,3,No,16.97,3.5,20.62
19,Sat,Dinner,Male,3,No,20.65,3.35,16.22
20,Sat,Dinner,Male,2,No,17.92,4.08,22.77
21,Sat,Dinner,Female,2,No,20.29,2.75,13.55
22,Sat,Dinner,Female,2,No,15.77,2.23,14.14
23,Sat,Dinner,Male,4,No,39.42,7.58,19.23
24,Sat,Dinner,Male,2,No,19.82,3.18,16.04
25,Sat,Dinner,Male,4,No,17.81,2.34,13.14
26,Sat,Dinner,Male,2,No,13.37,2.0,14.96
27,Sat,Dinner,Male,2,No,12.69,2.0,15.76
28,Sat,Dinner,Male,2,No,21.7,4.3,19.82
29,Sat,Dinner,Female,2,No,19.65,3.0,15.27
30,Sat,Dinner,Male,2,No,9.55,1.45,15.18
31,Sat,Dinner,Male,4,No,18.35,2.5,13.62
32,Sat,Dinner,Female,2,No,15.06,3.0,19.92
33,Sat,Dinner,Female,4,No,20.69,2.45,11.84
34,Sat,Dinner,Male,2,No,17.78,3.27,18.39
35,Sat,Dinner,Male,3,No,24.06,3.6,14.96
36,Sat,Dinner,Male,3,No,16.31,2.0,12.26
37,Sat,Dinner,Female,3,No,16.93,3.07,18.13
38,Sat,Dinner,Male,3,No,18.69,2.31,12.36
39,Sat,Dinner,Male,3,No,31.27,5.0,15.99
40,Sat,Dinner,Male,3,No,16.04,2.24,13.97
41,Sun,Dinner,Male,2,No,17.46,2.54,14.55
42,Sun,Dinner,Male,2,No,13.94,3.06,21.95
43,Sun,Dinner,Male,2,No,9.68,1.32,13.64
44,Sun,Dinner,Male,4,No,30.4,5.6,18.42
45,Sun,Dinner,Male,2,No,18.29,3.0,16.4
46,Sun,Dinner,Male,2,No,22.23,5.0,22.49
47,Sun,Dinner,Male,4,No,32.4,6.0,18.52
48,Sun,Dinner,Male,3,No,28.55,2.05,7.18
49,Sun,Dinner,Male,2,No,18.04,3.0,16.63
50,Sun,Dinner,Male,2,No,12.54,2.5,19.94
51,Sun,Dinner,Female,2,No,10.29,2.6,25.27
52,Sun,Dinner,Female,4,No,34.81,5.2,14.94
53,Sun,Dinner,Male,2,No,9.94,1.56,15.69
54,Sun,Dinner,Male,4,No,25.56,4.34,16.98
55,Sun,Dinner,Male,2,No,19.49,3.51,18.01
56,Sat,Dinner,Male,4,Yes,38.01,3.0,7.89
57,Sat,Dinner,Female,2,No,26.41,1.5,5.68
58,Sat,Dinner,Male,2,Yes,11.24,1.76,15.66
59,Sat,Dinner,Male,4,No,48.27,6.73,13.94
60,Sat,Dinner,Male,2,Yes,20.29,3.21,15.82
61,Sat,Dinner,Male,2,Yes,13.81,2.0,14.48
62,Sat,Dinner,Male,2,Yes,11.02,1.98,17.97
63,Sat,Dinner,Male,4,Yes,18.29,3.76,20.56
64,Sat,Dinner,Male,3,No,17.59,2.64,15.01
65,Sat,Dinner,Male,3,No,20.08,3.15,15.69
66,Sat,Dinner,Female,2,No,16.45,2.47,15.02
67,Sat,Dinner,Female,1,Yes,3.07,1.0,32.57
68,Sat,Dinner,Male,2,No,20.23,2.01,9.94
69,Sat,Dinner,Male,2,Yes,15.01,2.09,13.92
70,Sat,Dinner,Male,2,No,12.02,1.97,16.39
71,Sat,Dinner,Female,3,No,17.07,3.0,17.57
72,Sat,Dinner,Female,2,Yes,26.86,3.14,11.69
73,Sat,Dinner,Female,2,Yes,25.28,5.0,19.78
74,Sat,Dinner,Female,2,No,14.73,2.2,14.94
75,Sat,Dinner,Male,2,No,10.51,1.25,11.89
76,Sat,Dinner,Male,2,Yes,17.92,3.08,17.19
77,Thur,Lunch,Male,4,No,27.2,4.0,14.71
78,Thur,Lunch,Male,2,No,22.76,3.0,13.18
79,Thur,Lunch,Male,2,No,17.29,2.71,15.67
80,Thur,Lunch,Male,2,Yes,19.44,3.0,15.43
81,Thur,Lunch,Male,2,No,16.66,3.4,20.41
82,Thur,Lunch,Female,1,No,10.07,1.83,18.17
83,Thur,Lunch,Male,2,Yes,32.68,5.0,15.3
84,Thur,Lunch,Male,2,No,15.98,2.03,12.7
85,Thur,Lunch,Female,4,No,34.83,5.17,14.84
86,Thur,Lunch,Male,2,No,13.03,2.0,15.35
87,Thur,Lunch,Male,2,No,18.28,4.0,21.88
88,Thur,Lunch,Male,2,No,24.71,5.85,23.67
89,Thur,Lunch,Male,2,No,21.16,3.0,14.18
90,Fri,Dinner,Male,2,Yes,28.97,3.0,10.36
91,Fri,Dinner,Male,2,No,22.49,3.5,15.56
